CountyDistrictSchool|School Year|SPED Percentage
000000000|20092010|0.1487
000000000|20102011|0.1491
000000000|20112012|0.1503
000000000|20122013|0.1466
000000000|20132014|0.1574
010003000|20092010|0.1328
010003000|20102011|0.1530
010003000|20112012|0.1429
010003000|20122013|0.1480
010003000|20132014|0.1719
010018000|20092010|0.1979
010018000|20102011|0.1993
010018000|20112012|0.2182
010018000|20122013|0.2263
010018000|20132014|0.2476
010090000|20092010|0.1518
010090000|20102011|0.1592
010090000|20112012|0.1464
010090000|20122013|0.1446
010090000|20132014|0.1627
010123000|20092010|0.1714
010123000|20102011|0.1992
010123000|20112012|0.1883
010123000|20122013|0.1772
010123000|20132014|0.1827
020009000|20092010|0.1686
020009000|20102011|0.1865
020009000|20112012|0.1718
020009000|20122013|0.1814
020009000|20132014|0.1848
020018000|20092010|0.1845
020018000|20102011|0.1156
020018000|20112012|0.1214
020018000|20122013|0.1223
020018000|20132014|0.1139
022001000|20092010|0.1537
022001000|20102011|0.1505
022001000|20112012|0.1426
022001000|20122013|0.1732
022001000|20132014|0.1840
030500000|20092010|0.1556
030500000|20102011|0.1509
030500000|20112012|0.1143
030500000|20122013|0.1600
030500000|20132014|0.1546
040001000|20092010|0.1017
040001000|20102011|0.1170
040001000|20112012|0.1203
040001000|20122013|0.1214
040001000|20132014|0.1042
050071000|20092010|0.1933
050071000|20102011|0.2281
050071000|20112012|0.2348
050071000|20122013|0.2075
050071000|20132014|0.2100
060001000|20092010|0.1324
060001000|20102011|0.1262
060001000|20112012|0.1320
060001000|20122013|0.1370
060001000|20132014|0.1455
060006000|20092010|0.1069
060006000|20102011|0.1203
060006000|20112012|0.1250
060006000|20122013|0.1667
060006000|20132014|0.1712
060017000|20092010|0.1806
060017000|20102011|0.1533
060017000|20112012|0.1778
060017000|20122013|0.1556
060017000|20132014|0.1560
070006000|20092010|0.1585
070006000|20102011|0.1447
070006000|20112012|0.1364
070006000|20122013|0.1413
070006000|20132014|0.1548
070010000|20092010|0.1688
070010000|20102011|0.1596
070010000|20112012|0.1811
070010000|20122013|0.1244
070010000|20132014|0.1222
