id|year|math_avg_score|math_grade|math_basic_pct|math_proficient_pct|math_advanced_pct|math_not_tested_pct|concat_join_id
010003001|2011-2012|109.21|07|-1.00|0.57|-1.00|0|0100030012011-2012
010003001|2012-2013|109.60|07|-1.00|0.60|-1.00|0|0100030012012-2013
010003001|2013-2014|111.71|07|-1.00|0.57|-1.00|0|0100030012013-2014
010003001|2014-2015|103.59|07|-1.00|0.59|-1.00|0|0100030012014-2015
010003001|2011-2012|104.47|08|0.26|0.47|0.26|0|0100030012011-2012
010003001|2012-2013|108.18|08|-1.00|-1.00|-1.00|0|0100030012012-2013
010003001|2013-2014|109.00|08|-1.00|0.62|0.24|0|0100030012013-2014
010003001|2014-2015|98.60|08|0.47|0.33|-1.00|0|0100030012014-2015
010003001|2011-2012|115.26|11|0.30|0.30|0.39|0|0100030012011-2012
010003001|2012-2013|133.80|11|-1.00|0.40|0.53|0|0100030012012-2013
010003001|2013-2014|120.00|11|0.30|0.25|0.45|0|0100030012013-2014
010003001|2014-2015|103.26|11|0.26|0.57|-1.00|0|0100030012014-2015
010003002|2011-2012|107.57|03|-1.00|0.79|-1.00|0|0100030022011-2012
010003002|2012-2013|102.83|03|-1.00|0.72|-1.00|0|0100030022012-2013
010003002|2013-2014|105.33|03|-1.00|0.87|-1.00|0|0100030022013-2014
010003002|2014-2015|105.55|03|-1.00|0.75|-1.00|0|0100030022014-2015
010003002|2011-2012|111.15|04|-1.00|0.62|-1.00|0|0100030022011-2012
010003002|2012-2013|102.79|04|-1.00|0.79|-1.00|0|0100030022012-2013
010003002|2013-2014|107.45|04|-1.00|0.85|-1.00|0|0100030022013-2014
010003002|2014-2015|94.56|04|-1.00|0.78|-1.00|0|0100030022014-2015
010003002|2011-2012|104.93|05|-1.00|0.71|-1.00|0|0100030022011-2012
010003002|2012-2013|111.92|05|-1.00|0.62|-1.00|0|0100030022012-2013
010003002|2013-2014|100.79|05|-1.00|0.71|-1.00|0|0100030022013-2014
010003002|2014-2015|94.43|05|0.35|0.61|-1.00|0|0100030022014-2015
010003002|2011-2012|119.32|06|-1.00|0.74|-1.00|0|0100030022011-2012
010003002|2012-2013|120.36|06|-1.00|0.57|-1.00|0|0100030022012-2013
010003002|2013-2014|114.00|06|-1.00|0.60|-1.00|0|0100030022013-2014
010003002|2014-2015|90.44|06|0.38|0.63|-1.00|0|0100030022014-2015
010018001|2011-2012|92.12|11|0.51|0.32|0.17|1|0100180012011-2012
010018001|2012-2013|84.95|11|0.57|0.29|0.14|4|0100180012012-2013
010018001|2013-2014|90.06|11|0.51|0.31|0.17|1|0100180012013-2014
010018001|2014-2015|92.97|11|0.50|0.32|0.18|4|0100180012014-2015
010018002|2011-2012|111.15|06|0.29|0.42|0.29|0|0100180022011-2012
010018002|2012-2013|103.76|06|0.35|0.40|0.25|0|0100180022012-2013
010018002|2013-2014|106.30|06|0.29|0.50|0.21|1|0100180022013-2014
010018002|2014-2015|109.15|06|0.29|0.45|0.26|0|0100180022014-2015
010018002|2011-2012|110.22|07|0.24|0.49|0.27|0|0100180022011-2012
010018002|2012-2013|110.98|07|0.25|0.45|0.30|0|0100180022012-2013
010018002|2013-2014|110.49|07|0.26|0.45|0.28|0|0100180022013-2014
010018002|2014-2015|110.26|07|0.32|0.38|0.30|0|0100180022014-2015
010018002|2011-2012|111.76|08|0.27|0.43|0.30|0|0100180022011-2012
010018002|2012-2013|125.86|08|0.16|0.37|0.47|0|0100180022012-2013
010018002|2013-2014|112.66|08|0.24|0.48|0.29|0|0100180022013-2014
010018002|2014-2015|114.10|08|0.22|0.53|0.25|0|0100180022014-2015
010018003|2011-2012|102.98|03|0.26|0.66|0.08|0|0100180032011-2012
010018003|2012-2013|104.55|03|0.28|0.50|0.23|0|0100180032012-2013
010018003|2013-2014|104.68|03|0.30|0.53|0.17|0|0100180032013-2014
010018003|2014-2015|119.85|03|0.15|0.48|0.37|0|0100180032014-2015
010018003|2011-2012|116.30|04|0.23|0.48|0.30|0|0100180032011-2012
010018003|2012-2013|112.20|04|0.19|0.62|0.19|0|0100180032012-2013
010018003|2013-2014|118.35|04|0.24|0.41|0.35|0|0100180032013-2014
010018003|2014-2015|115.51|04|0.13|0.62|0.24|0|0100180032014-2015
010018003|2011-2012|111.05|05|0.14|0.66|0.20|0|0100180032011-2012
010018003|2012-2013|112.71|05|0.24|0.49|0.27|0|0100180032012-2013
010018003|2013-2014|107.34|05|0.22|0.61|0.17|0|0100180032013-2014
010018003|2014-2015|119.23|05|0.17|0.49|0.34|0|0100180032014-2015
010018004|2011-2012|110.80|03|0.22|0.57|0.22|0|0100180042011-2012
010018004|2012-2013|106.64|03|0.25|0.53|0.22|0|0100180042012-2013
010018004|2013-2014|106.22|03|0.22|0.61|0.18|0|0100180042013-2014
010018004|2014-2015|112.36|03|0.19|0.55|0.26|0|0100180042014-2015
010018004|2011-2012|102.56|04|0.27|0.63|0.10|0|0100180042011-2012
010018004|2012-2013|99.42|04|0.30|0.64|-1.00|0|0100180042012-2013
010018004|2013-2014|105.35|04|0.26|0.58|0.15|0|0100180042013-2014
010018004|2014-2015|99.55|04|0.39|0.52|-1.00|0|0100180042014-2015
010018004|2011-2012|105.00|05|0.18|0.69|0.13|0|0100180042011-2012
010018004|2012-2013|109.90|05|0.13|0.73|0.13|0|0100180042012-2013
010018004|2013-2014|110.20|05|0.16|0.73|0.12|0|0100180042013-2014
010018004|2014-2015|108.02|05|0.28|0.58|0.14|0|0100180042014-2015
010018005|2011-2012|93.52|03|0.46|0.48|-1.00|0|0100180052011-2012
010018005|2012-2013|95.55|03|0.31|0.63|-1.00|0|0100180052012-2013
010018005|2013-2014|110.84|03|0.24|0.55|0.22|0|0100180052013-2014
010018005|2014-2015|112.84|03|0.18|0.60|0.23|0|0100180052014-2015
010018005|2011-2012|86.40|04|0.54|0.38|-1.00|0|0100180052011-2012
010018005|2012-2013|88.40|04|0.47|0.47|-1.00|0|0100180052012-2013
010018005|2013-2014|109.43|04|0.11|0.72|0.17|0|0100180052013-2014
010018005|2014-2015|100.12|04|0.33|0.56|0.12|0|0100180052014-2015
010018005|2011-2012|86.87|05|0.50|0.45|-1.00|0|0100180052011-2012
010018005|2012-2013|96.54|05|0.35|0.54|0.10|0|0100180052012-2013
010018005|2013-2014|107.76|05|0.22|0.66|0.12|0|0100180052013-2014
010018005|2014-2015|98.93|05|0.35|0.54|0.11|0|0100180052014-2015
010018006|2011-2012|105.16|03|0.33|0.43|0.24|0|0100180062011-2012
010018006|2012-2013|113.33|03|0.21|0.51|0.28|0|0100180062012-2013
010018006|2013-2014|109.30|03|0.21|0.62|0.17|0|0100180062013-2014
010018006|2014-2015|115.19|03|0.17|0.60|0.22|0|0100180062014-2015
010018006|2011-2012|116.16|04|0.25|0.46|0.29|0|0100180062011-2012
010018006|2012-2013|111.35|04|0.29|0.50|0.21|0|0100180062012-2013
010018006|2013-2014|119.32|04|0.15|0.57|0.28|0|0100180062013-2014
010018006|2014-2015|118.07|04|0.15|0.55|0.30|0|0100180062014-2015
010018006|2011-2012|112.68|05|0.16|0.58|0.26|0|0100180062011-2012
010018006|2012-2013|119.91|05|0.18|0.49|0.33|0|0100180062012-2013
010018006|2013-2014|108.73|05|0.25|0.54|0.21|0|0100180062013-2014
010018006|2014-2015|115.98|05|0.19|0.59|0.22|0|0100180062014-2015
010018007|2011-2012|121.29|03|0.14|0.54|0.31|0|0100180072011-2012
010018007|2012-2013|101.87|03|0.38|0.49|0.13|0|0100180072012-2013
010018007|2013-2014|123.45|03|0.12|0.53|0.35|0|0100180072013-2014
010018007|2014-2015|114.49|03|0.11|0.72|0.17|0|0100180072014-2015
010018007|2011-2012|90.10|04|0.43|0.55|-1.00|0|0100180072011-2012
010018007|2012-2013|128.89|04|-1.00|0.54|0.43|0|0100180072012-2013
010018007|2013-2014|125.70|04|-1.00|0.55|0.38|0|0100180072013-2014
010018007|2014-2015|126.26|04|-1.00|0.54|0.39|0|0100180072014-2015
010018007|2011-2012|111.12|05|0.19|0.55|0.26|0|0100180072011-2012
010018007|2012-2013|104.74|05|0.33|0.48|0.20|0|0100180072012-2013
010018007|2013-2014|126.86|05|-1.00|0.54|0.35|0|0100180072013-2014
010018007|2014-2015|115.86|05|0.20|0.53|0.27|0|0100180072014-2015
010018008|2011-2012|114.75|03|0.25|0.50|0.25|0|0100180082011-2012
010018008|2012-2013|103.54|03|0.25|0.58|-1.00|0|0100180082012-2013
010018008|2013-2014|101.42|03|0.33|0.54|-1.00|0|0100180082013-2014
010018008|2014-2015|121.83|03|-1.00|0.54|0.29|0|0100180082014-2015
010018008|2011-2012|113.42|04|0.21|0.58|0.21|0|0100180082011-2012
010018008|2012-2013|112.25|04|0.29|0.38|0.33|0|0100180082012-2013
010018008|2013-2014|111.72|04|0.20|0.52|0.28|0|0100180082013-2014
010018008|2014-2015|109.23|04|0.23|0.68|-1.00|0|0100180082014-2015
010018008|2011-2012|146.35|05|-1.00|0.30|0.65|0|0100180082011-2012
010018008|2012-2013|129.69|05|-1.00|0.50|0.42|0|0100180082012-2013
010018008|2013-2014|122.61|05|0.26|0.30|0.43|0|0100180082013-2014
010018008|2014-2015|114.64|05|0.20|0.48|0.32|0|0100180082014-2015
010090001|2011-2012|114.26|07|0.22|0.52|0.26|0|0100900012011-2012
010090001|2012-2013|99.27|07|0.23|0.68|0.09|0|0100900012012-2013
010090001|2013-2014|110.34|07|0.16|0.63|0.21|0|0100900012013-2014
010090001|2014-2015|126.49|07|0.16|0.36|0.48|0|0100900012014-2015
010090001|2011-2012|97.97|08|0.39|0.45|0.16|0|0100900012011-2012
010090001|2012-2013|108.34|08|0.18|0.60|0.22|0|0100900012012-2013
010090001|2013-2014|100.61|08|0.28|0.58|0.13|0|0100900012013-2014
010090001|2014-2015|113.19|08|0.19|0.57|0.24|0|0100900012014-2015
010090001|2011-2012|110.28|11|0.25|0.49|0.25|0|0100900012011-2012
010090001|2012-2013|110.50|11|0.29|0.42|0.28|0|0100900012012-2013
010090001|2013-2014|113.12|11|0.30|0.39|0.31|0|0100900012013-2014
010090001|2014-2015|105.69|11|0.36|0.35|0.28|1|0100900012014-2015
010090002|2011-2012|100.23|03|0.41|0.45|-1.00|0|0100900022011-2012
010090002|2012-2013|87.29|03|0.47|0.53|-1.00|0|0100900022012-2013
010090002|2013-2014|87.24|03|0.44|0.56|-1.00|0|0100900022013-2014
010090002|2014-2015|97.47|03|-1.00|0.74|-1.00|0|0100900022014-2015
010090002|2011-2012|99.79|04|-1.00|0.71|-1.00|0|0100900022011-2012
010090002|2012-2013|107.55|04|-1.00|0.70|-1.00|0|0100900022012-2013
010090002|2013-2014|103.40|04|0.30|0.50|-1.00|0|0100900022013-2014
010090002|2014-2015|104.28|04|0.24|0.68|-1.00|0|0100900022014-2015
010090002|2011-2012|113.75|05|-1.00|0.63|-1.00|0|0100900022011-2012
010090002|2012-2013|118.45|05|-1.00|0.80|-1.00|0|0100900022012-2013
010090002|2013-2014|102.22|05|0.26|0.61|-1.00|0|0100900022013-2014
010090002|2014-2015|118.86|05|-1.00|0.62|0.29|0|0100900022014-2015
010090002|2011-2012|112.14|06|-1.00|0.67|-1.00|0|0100900022011-2012
010090002|2012-2013|107.53|06|0.26|0.53|-1.00|0|0100900022012-2013
010090002|2013-2014|109.09|06|0.32|0.41|0.27|0|0100900022013-2014
010090002|2014-2015|105.30|06|0.30|0.48|0.22|0|0100900022014-2015
010090003|2011-2012|128.10|03|-1.00|0.70|-1.00|0|0100900032011-2012
010090003|2012-2013|112.33|03|-1.00|0.56|0.28|0|0100900032012-2013
010090003|2013-2014|95.29|03|0.36|0.57|-1.00|0|0100900032013-2014
010090003|2014-2015|154.32|03|-1.00|0.32|0.68|0|0100900032014-2015
010090003|2011-2012|125.65|04|-1.00|0.41|0.47|0|0100900032011-2012
010090003|2012-2013|120.18|04|-1.00|0.59|0.29|0|0100900032012-2013
010090003|2013-2014|132.06|04|-1.00|0.47|0.53|0|0100900032013-2014
010090003|2014-2015|124.12|04|-1.00|0.59|0.35|0|0100900032014-2015
010090003|2011-2012|115.10|05|-1.00|-1.00|-1.00|0|0100900032011-2012
010090003|2012-2013|132.25|05|-1.00|0.35|0.55|0|0100900032012-2013
010090003|2013-2014|131.00|05|-1.00|0.56|0.44|0|0100900032013-2014
010090003|2014-2015|133.68|05|-1.00|0.42|0.53|0|0100900032014-2015
010090003|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900032011-2012
010090003|2012-2013|110.70|06|-1.00|0.65|-1.00|0|0100900032012-2013
010090003|2013-2014|136.35|06|-1.00|0.50|0.50|0|0100900032013-2014
010090003|2014-2015|112.10|06|-1.00|0.70|-1.00|0|0100900032014-2015
010090004|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0100900042011-2012
