id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
010003001|2011-2012|116.00|07|-1.00|0.36|0.36|0|0100030012011-2012
010003001|2012-2013|128.65|07|-1.00|0.40|0.45|0|0100030012012-2013
010003001|2013-2014|127.29|07|-1.00|-1.00|0.50|0|0100030012013-2014
010003001|2014-2015|128.71|07|0.29|-1.00|0.53|0|0100030012014-2015
010003001|2011-2012|103.37|08|-1.00|0.68|-1.00|0|0100030012011-2012
010003001|2012-2013|118.18|08|-1.00|-1.00|-1.00|0|0100030012012-2013
010003001|2013-2014|109.71|08|-1.00|0.52|0.29|0|0100030012013-2014
010003001|2014-2015|117.40|08|-1.00|0.47|0.33|0|0100030012014-2015
010003001|2011-2012|124.78|11|-1.00|0.48|0.39|0|0100030012011-2012
010003001|2012-2013|136.80|11|-1.00|0.33|0.60|0|0100030012012-2013
010003001|2013-2014|124.30|11|-1.00|0.30|0.50|0|0100030012013-2014
010003001|2014-2015|110.96|11|0.26|0.48|0.26|0|0100030012014-2015
010003002|2011-2012|117.43|03|-1.00|0.71|-1.00|0|0100030022011-2012
010003002|2012-2013|111.50|03|-1.00|0.72|-1.00|0|0100030022012-2013
010003002|2013-2014|102.20|03|-1.00|0.73|-1.00|0|0100030022013-2014
010003002|2014-2015|121.35|03|-1.00|0.50|0.35|0|0100030022014-2015
010003002|2011-2012|114.62|04|-1.00|0.38|0.38|0|0100030022011-2012
010003002|2012-2013|105.00|04|-1.00|0.64|-1.00|0|0100030022012-2013
010003002|2013-2014|93.60|04|0.35|0.65|-1.00|0|0100030022013-2014
010003002|2014-2015|90.94|04|0.39|0.61|-1.00|0|0100030022014-2015
010003002|2011-2012|111.07|05|-1.00|0.57|-1.00|0|0100030022011-2012
010003002|2012-2013|107.08|05|-1.00|0.46|-1.00|0|0100030022012-2013
010003002|2013-2014|108.79|05|-1.00|0.50|-1.00|0|0100030022013-2014
010003002|2014-2015|103.43|05|0.26|0.61|-1.00|0|0100030022014-2015
010003002|2011-2012|120.30|06|-1.00|0.70|0.25|0|0100030022011-2012
010003002|2012-2013|116.29|06|-1.00|0.57|-1.00|0|0100030022012-2013
010003002|2013-2014|116.67|06|-1.00|0.40|0.33|0|0100030022013-2014
010003002|2014-2015|110.81|06|-1.00|0.56|-1.00|0|0100030022014-2015
010018001|2011-2012|97.90|11|0.42|0.32|0.26|1|0100180012011-2012
010018001|2012-2013|97.22|11|0.40|0.39|0.21|4|0100180012012-2013
010018001|2013-2014|97.44|11|0.41|0.39|0.19|1|0100180012013-2014
010018001|2014-2015|97.19|11|0.38|0.42|0.20|3|0100180012014-2015
010018002|2011-2012|114.22|06|0.24|0.44|0.32|0|0100180022011-2012
010018002|2012-2013|112.84|06|0.26|0.41|0.32|0|0100180022012-2013
010018002|2013-2014|117.75|06|0.23|0.45|0.32|1|0100180022013-2014
010018002|2014-2015|121.02|06|0.17|0.47|0.36|0|0100180022014-2015
010018002|2011-2012|116.01|07|0.20|0.46|0.34|0|0100180022011-2012
010018002|2012-2013|118.56|07|0.22|0.43|0.34|0|0100180022012-2013
010018002|2013-2014|126.54|07|0.20|0.37|0.43|0|0100180022013-2014
010018002|2014-2015|124.48|07|0.16|0.47|0.37|0|0100180022014-2015
010018002|2011-2012|103.30|08|0.36|0.42|0.22|0|0100180022011-2012
010018002|2012-2013|115.80|08|0.20|0.48|0.32|0|0100180022012-2013
010018002|2013-2014|115.17|08|0.20|0.52|0.28|0|0100180022013-2014
010018002|2014-2015|116.73|08|0.23|0.42|0.36|0|0100180022014-2015
010018003|2011-2012|108.79|03|0.19|0.65|0.16|0|0100180032011-2012
010018003|2012-2013|115.44|03|0.15|0.64|0.21|0|0100180032012-2013
010018003|2013-2014|108.26|03|0.26|0.60|0.15|0|0100180032013-2014
010018003|2014-2015|129.06|03|0.11|0.47|0.42|0|0100180032014-2015
010018003|2011-2012|117.00|04|0.20|0.45|0.35|0|0100180032011-2012
010018003|2012-2013|120.99|04|0.07|0.59|0.34|0|0100180032012-2013
010018003|2013-2014|124.42|04|0.15|0.36|0.48|0|0100180032013-2014
010018003|2014-2015|117.07|04|0.22|0.44|0.33|0|0100180032014-2015
010018003|2011-2012|118.11|05|0.18|0.39|0.43|0|0100180032011-2012
010018003|2012-2013|117.46|05|0.24|0.34|0.41|0|0100180032012-2013
010018003|2013-2014|119.86|05|0.30|0.30|0.41|0|0100180032013-2014
010018003|2014-2015|135.47|05|-1.00|0.35|0.56|0|0100180032014-2015
010018004|2011-2012|108.10|03|0.22|0.55|0.24|0|0100180042011-2012
010018004|2012-2013|107.43|03|0.18|0.65|0.17|0|0100180042012-2013
010018004|2013-2014|106.12|03|0.29|0.61|0.10|0|0100180042013-2014
010018004|2014-2015|112.21|03|0.15|0.64|0.21|0|0100180042014-2015
010018004|2011-2012|109.48|04|0.24|0.51|0.25|0|0100180042011-2012
010018004|2012-2013|113.18|04|0.18|0.58|0.24|0|0100180042012-2013
010018004|2013-2014|120.44|04|0.19|0.44|0.36|0|0100180042013-2014
010018004|2014-2015|117.75|04|-1.00|0.59|0.32|0|0100180042014-2015
010018004|2011-2012|104.67|05|0.31|0.49|0.20|0|0100180042011-2012
010018004|2012-2013|111.35|05|0.22|0.52|0.27|0|0100180042012-2013
010018004|2013-2014|117.75|05|0.12|0.65|0.24|0|0100180042013-2014
010018004|2014-2015|126.31|05|0.13|0.47|0.41|0|0100180042014-2015
010018005|2011-2012|91.09|03|0.28|0.70|-1.00|0|0100180052011-2012
010018005|2012-2013|95.65|03|0.33|0.61|-1.00|0|0100180052012-2013
010018005|2013-2014|118.34|03|-1.00|0.66|0.26|0|0100180052013-2014
