id|year|science_avg_score|science_grade|science_basic_pct|science_proficient_pct|science_advanced_pct|science_not_tested_pct|concat_join_id
010003001|2011-2012|106.58|08|-1.00|0.68|-1.00|0|0100030012011-2012
010003001|2012-2013|114.00|08|-1.00|0.45|-1.00|0|0100030012012-2013
010003001|2013-2014|113.52|08|0.24|0.48|0.29|0|0100030012013-2014
010003001|2014-2015|104.60|08|0.33|0.47|-1.00|0|0100030012014-2015
010003001|2011-2012|111.57|11|-1.00|0.74|-1.00|0|0100030012011-2012
010003001|2012-2013|132.20|11|-1.00|0.33|0.60|0|0100030012012-2013
010003001|2013-2014|110.90|11|-1.00|0.60|-1.00|0|0100030012013-2014
010003001|2014-2015|106.61|11|-1.00|0.78|-1.00|0|0100030012014-2015
010003002|2011-2012|114.43|05|-1.00|0.64|-1.00|0|0100030022011-2012
010003002|2012-2013|101.77|05|-1.00|0.46|-1.00|0|0100030022012-2013
010003002|2013-2014|102.07|05|0.36|0.50|-1.00|0|0100030022013-2014
010003002|2014-2015|100.83|05|-1.00|0.83|-1.00|0|0100030022014-2015
010018001|2011-2012|95.36|11|0.40|0.47|0.13|1|0100180012011-2012
010018001|2012-2013|97.19|11|0.32|0.59|0.09|4|0100180012012-2013
010018001|2013-2014|96.14|11|0.36|0.54|0.10|1|0100180012013-2014
010018001|2014-2015|97.35|11|0.32|0.60|0.09|4|0100180012014-2015
010018002|2011-2012|95.15|08|0.38|0.52|0.10|0|0100180022011-2012
010018002|2012-2013|105.01|08|0.24|0.61|0.16|0|0100180022012-2013
010018002|2013-2014|106.28|08|0.26|0.56|0.18|0|0100180022013-2014
010018002|2014-2015|107.45|08|0.33|0.41|0.25|0|0100180022014-2015
010018003|2011-2012|109.07|05|0.18|0.66|0.16|0|0100180032011-2012
010018003|2012-2013|102.83|05|0.24|0.59|0.17|0|0100180032012-2013
010018003|2013-2014|101.66|05|0.32|0.48|0.20|1|0100180032013-2014
010018003|2014-2015|114.91|05|0.20|0.51|0.29|0|0100180032014-2015
010018004|2011-2012|95.38|05|0.43|0.48|0.10|0|0100180042011-2012
010018004|2012-2013|99.23|05|0.35|0.55|0.10|0|0100180042012-2013
010018004|2013-2014|99.76|05|0.20|0.78|-1.00|0|0100180042013-2014
010018004|2014-2015|108.02|05|0.25|0.56|0.19|0|0100180042014-2015
