CountyDistrictSchool|School Year|HAL Percentage
010003000|20092010|0.1725
010018000|20092010|0.1175
010090000|20092010|0.2227
010123000|20092010|0.1935
014001000|20092010|-1.0000
020009000|20092010|0.1340
020018000|20092010|0.2550
022001000|20092010|0.1617
030500000|20092010|-1.0000
040001000|20092010|0.0904
050071000|20092010|0.1008
060001000|20092010|0.1004
060006000|20092010|0.1603
060017000|20092010|-1.0000
070006000|20092010|0.0722
070010000|20092010|0.1253
080036000|20092010|0.3238
080050000|20092010|0.2043
090010000|20092010|0.1165
100002000|20092010|0.0496
100007000|20092010|0.1529
100009000|20092010|0.1143
100019000|20092010|0.0776
100069000|20092010|0.1281
100105000|20092010|0.3000
100119000|20092010|0.0830
100600000|20092010|-1.0000
104002000|20092010|-1.0000
110001000|20092010|0.1652
110014000|20092010|0.2928
110020000|20092010|0.1627
120032000|20092010|-1.0000
120056000|20092010|0.0624
120502000|20092010|0.2088
130001000|20092010|0.0528
130022000|20092010|0.0523
130032000|20092010|0.1302
130056000|20092010|0.1298
130097000|20092010|0.1980
140008000|20092010|-1.0000
140045000|20092010|0.0880
140054000|20092010|0.0737
140101000|20092010|0.1234
140541000|20092010|0.1500
150010000|20092010|0.2044
150536000|20092010|0.0968
160006000|20092010|0.0640
160030000|20092010|0.1786
170001000|20092010|0.1434
170003000|20092010|-1.0000
170009000|20092010|0.3246
180002000|20092010|0.1037
180011000|20092010|0.1566
180070000|20092010|-1.0000
190039000|20092010|-1.0000
190058000|20092010|-1.0000
190059000|20092010|0.2500
190123000|20092010|0.0504
200001000|20092010|0.0944
200020000|20092010|0.1158
200030000|20092010|0.1473
210015000|20092010|0.1244
210025000|20092010|0.0994
210044000|20092010|0.1307
210084000|20092010|0.1617
210089000|20092010|0.1382
210180000|20092010|-1.0000
220011000|20092010|0.3518
220031000|20092010|0.2474
224005000|20092010|-1.0000
230002000|20092010|0.1145
230071000|20092010|0.1667
230601000|20092010|-1.0000
240001000|20092010|0.0695
240004000|20092010|0.0746
240011000|20092010|0.0996
240020000|20092010|0.0988
240101000|20092010|0.1486
250025000|20092010|0.0810
250095000|20092010|0.0779
260001000|20092010|-1.0000
260024000|20092010|0.1128
260070000|20092010|0.0444
260561000|20092010|0.1329
270001000|20092010|0.0704
270046000|20092010|0.1824
270062000|20092010|0.1157
270594000|20092010|0.0214
270595000|20092010|0.1896
280001000|20092010|0.0918
280010000|20092010|0.1059
280015000|20092010|0.0861
280017000|20092010|0.2457
280054000|20092010|0.1506
280059000|20092010|0.0948
280066000|20092010|0.0868
280602000|20092010|-1.0000
284004000|20092010|-1.0000
284005000|20092010|-1.0000
284007000|20092010|-1.0000
284008000|20092010|-1.0000
284011000|20092010|-1.0000
284015000|20092010|-1.0000
284020000|20092010|-1.0000
290117000|20092010|0.1410
300001000|20092010|0.1610
300025000|20092010|0.1109
300054000|20092010|0.1129
300600000|20092010|-1.0000
310506000|20092010|0.0859
320046000|20092010|0.3147
320095000|20092010|0.0859
320125000|20092010|0.1188
330018000|20092010|0.1184
330021000|20092010|0.0576
330540000|20092010|0.0895
340001000|20092010|-1.0000
340015000|20092010|0.0754
340034000|20092010|0.1392
340100000|20092010|0.1488
350001000|20092010|0.1400
360100000|20092010|0.2178
370030000|20092010|0.1694
380011000|20092010|0.1707
390010000|20092010|-1.0000
390055000|20092010|0.2283
390501000|20092010|-1.0000
400002000|20092010|0.0833
400082000|20092010|0.1501
400083000|20092010|0.0360
400126000|20092010|0.0272
410002000|20092010|0.1295
410091000|20092010|0.0610
410504000|20092010|0.0901
420002000|20092010|0.1818
430079000|20092010|0.1786
440070000|20092010|0.0736
450007000|20092010|0.1667
450029000|20092010|0.1901
450044000|20092010|-1.0000
450137000|20092010|-1.0000
450239000|20092010|-1.0000
460001000|20092010|0.1649
470001000|20092010|0.1180
470100000|20092010|0.0370
470103000|20092010|-1.0000
480008000|20092010|0.0720
480300000|20092010|0.1785
480303000|20092010|0.1657
490033000|20092010|0.1767
490050000|20092010|0.1006
500001000|20092010|0.1826
500501000|20092010|0.0938
500503000|20092010|0.1926
510001000|20092010|0.1170
510006000|20092010|0.0957
520100000|20092010|-1.0000
530001000|20092010|-1.0000
540013000|20092010|0.0877
540096000|20092010|-1.0000
540501000|20092010|0.1379
540505000|20092010|0.1908
540576000|20092010|0.2899
540586000|20092010|0.2167
550001000|20092010|0.2156
550145000|20092010|0.0667
550148000|20092010|0.0758
550160000|20092010|0.1659
550161000|20092010|0.1250
550605000|20092010|-1.0000
554001000|20092010|-1.0000
554002000|20092010|-1.0000
554003000|20092010|-1.0000
554004000|20092010|-1.0000
560001000|20092010|0.0708
560006000|20092010|0.1232
560007000|20092010|0.1586
560037000|20092010|0.1115
560055000|20092010|0.0914
560565000|20092010|0.2366
570501000|20092010|0.0920
580025000|20092010|0.1078
590001000|20092010|-1.0000
590002000|20092010|0.2219
590005000|20092010|0.1496
590013000|20092010|-1.0000
590080000|20092010|0.0745
594001000|20092010|-1.0000
594003000|20092010|-1.0000
600090000|20092010|-1.0000
610004000|20092010|0.1192
610049000|20092010|0.1920
620021000|20092010|-1.0000
620063000|20092010|0.0931
630001000|20092010|0.1307
630030000|20092010|0.0682
640023000|20092010|0.1216
640029000|20092010|0.1030
650011000|20092010|0.1452
652005000|20092010|0.0568
660027000|20092010|0.3116
660111000|20092010|0.0859
660501000|20092010|0.2433
670001000|20092010|0.0453
670069000|20092010|0.1250
680020000|20092010|-1.0000
690044000|20092010|0.1305
690054000|20092010|0.2980
690055000|20092010|0.1061
700002000|20092010|0.1687
700005000|20092010|0.2245
700542000|20092010|0.2593
710001000|20092010|0.1574
710005000|20092010|-1.0000
710067000|20092010|0.1020
720015000|20092010|0.1784
720019000|20092010|0.2517
720032000|20092010|0.0988
720075000|20092010|0.2016
730017000|20092010|-1.0000
730179000|20092010|-1.0000
740056000|20092010|0.0819
740070000|20092010|0.1206
750100000|20092010|0.2356
760002000|20092010|0.1368
760044000|20092010|0.2029
760068000|20092010|0.1185
760082000|20092010|0.1442
770001000|20092010|0.1463
770027000|20092010|0.1020
770037000|20092010|0.0928
770046000|20092010|0.2085
774002000|20092010|-1.0000
780001000|20092010|0.1772
780009000|20092010|0.0264
780039000|20092010|0.1333
780072000|20092010|-1.0000
780104000|20092010|0.1802
780107000|20092010|0.1802
790002000|20092010|0.0885
790011000|20092010|0.0972
790016000|20092010|0.0994
790031000|20092010|0.0399
790032000|20092010|0.0512
794001000|20092010|-1.0000
800005000|20092010|0.0458
