id|year|writing_avg_score|writing_grade|writing_basic_pct|writing_proficient_pct|writing_advanced_pct|writing_not_tested_pct|concat_join_id
010003001|2011-2012|45.47|08|0.42|0.37|-1.00|0|0100030012011-2012
010003001|2012-2013|50.36|08|-1.00|-1.00|0.45|0|0100030012012-2013
010003001|2013-2014||08||||0|0100030012013-2014
010003001|2014-2015|53.20|08|-1.00|0.40|0.53|0|0100030012014-2015
010003001|2011-2012|48.30|11|0.30|0.35|0.35|0|0100030012011-2012
010003001|2012-2013|40.60|11|0.47|0.47|-1.00|0|0100030012012-2013
010003001|2013-2014||11||||0|0100030012013-2014
010003001|2014-2015|52.13|11|-1.00|0.42|0.42|0|0100030012014-2015
010003002|2011-2012||04|-1.00|-1.00|-1.00|0|0100030022011-2012
010003002|2012-2013|42.23|04|-1.00|0.62|-1.00|0|0100030022012-2013
010003002|2013-2014|40.47|04|0.42|0.58|-1.00|0|0100030022013-2014
010003002|2014-2015|34.94|04|0.71|0.29|-1.00|0|0100030022014-2015
010018001|2011-2012|42.65|11|0.47|0.26|0.27|0|0100180012011-2012
010018001|2012-2013|40.60|11|0.46|0.35|0.19|2|0100180012012-2013
010018001|2013-2014||11||||1|0100180012013-2014
010018001|2014-2015|44.23|11|0.32|0.44|0.24|3|0100180012014-2015
010018002|2011-2012|48.49|08|0.21|0.47|0.32|0|0100180022011-2012
010018002|2012-2013|48.03|08|0.21|0.49|0.29|0|0100180022012-2013
010018002|2013-2014||08||||0|0100180022013-2014
010018002|2014-2015|53.15|08|0.15|0.35|0.50|0|0100180022014-2015
010018003|2011-2012||04|-1.00|0.98|-1.00|0|0100180032011-2012
010018003|2012-2013|43.50|04|0.26|0.66|0.07|0|0100180032012-2013
010018003|2013-2014|42.18|04|0.29|0.62|-1.00|0|0100180032013-2014
010018003|2014-2015|43.59|04|0.26|0.61|0.13|0|0100180032014-2015
010018004|2011-2012||04|-1.00|0.97|-1.00|0|0100180042011-2012
010018004|2012-2013|44.92|04|0.29|0.53|0.18|0|0100180042012-2013
010018004|2013-2014|46.22|04|0.31|0.51|0.18|0|0100180042013-2014
010018004|2014-2015|50.61|04|-1.00|0.63|0.27|0|0100180042014-2015
010018005|2011-2012||04|-1.00|0.92|-1.00|0|0100180052011-2012
010018005|2012-2013|41.73|04|0.40|0.53|-1.00|0|0100180052012-2013
010018005|2013-2014|41.13|04|0.38|0.52|0.10|0|0100180052013-2014
010018005|2014-2015|41.21|04|0.38|0.58|-1.00|0|0100180052014-2015
010018006|2011-2012||04|-1.00|0.94|-1.00|0|0100180062011-2012
010018006|2012-2013|44.31|04|0.29|0.49|0.22|0|0100180062012-2013
010018006|2013-2014|41.65|04|0.48|0.33|0.19|0|0100180062013-2014
010018006|2014-2015|45.91|04|0.18|0.61|0.21|0|0100180062014-2015
010018007|2011-2012||04|-1.00|-1.00|-1.00|0|0100180072011-2012
010018007|2012-2013|45.97|04|0.19|0.78|-1.00|0|0100180072012-2013
010018007|2013-2014|44.32|04|0.19|0.74|-1.00|0|0100180072013-2014
010018007|2014-2015|47.04|04|0.17|0.72|0.11|0|0100180072014-2015
010018008|2011-2012||04|-1.00|0.96|-1.00|0|0100180082011-2012
010018008|2012-2013|48.48|04|-1.00|0.61|0.22|0|0100180082012-2013
010018008|2013-2014|46.79|04|-1.00|0.58|0.25|0|0100180082013-2014
010018008|2014-2015|48.00|04|-1.00|0.59|0.23|0|0100180082014-2015
010090001|2011-2012|42.80|08|0.42|0.36|0.22|0|0100900012011-2012
010090001|2012-2013|44.52|08|0.32|0.52|0.16|0|0100900012012-2013
010090001|2013-2014||08||||0|0100900012013-2014
010090001|2014-2015|45.44|08|0.25|0.56|0.19|0|0100900012014-2015
010090001|2011-2012|42.66|11|0.38|0.44|0.18|0|0100900012011-2012
010090001|2012-2013|49.63|11|0.18|0.37|0.45|0|0100900012012-2013
010090001|2013-2014||11||||0|0100900012013-2014
010090001|2014-2015|52.80|11|0.12|0.39|0.49|0|0100900012014-2015
010090002|2011-2012||04|-1.00|-1.00|-1.00|0|0100900022011-2012
010090002|2012-2013|49.35|04|-1.00|0.60|0.25|0|0100900022012-2013
